timestamp,temperature,humidity,light,soil_moisture
2026-03-25 15:47:36,25,60,300,45
2026-03-25 15:53:41,25,66,8242,51
2026-03-25 15:53:43,25,73,7703,57
2026-03-25 15:53:45,23,68,8420,58
2026-03-25 15:53:47,24,67,7959,54
2026-03-25 15:53:49,24,66,8269,54
2026-03-25 15:53:51,25,73,7976,56
2026-03-25 15:53:53,25,67,7854,49
2026-03-25 15:53:55,25,69,8300,51
2026-03-25 15:53:57,24,68,8859,62
2026-03-25 15:53:59,24,72,8099,48
2026-03-25 15:54:01,24,70,7679,61
2026-03-25 15:54:03,24,74,8208,52
2026-03-25 15:54:05,23,70,8205,52
2026-03-25 15:54:07,25,69,8247,52
2026-03-25 15:54:09,25,66,8877,58
2026-03-25 15:54:11,23,71,8854,48
2026-03-25 15:54:13,25,66,8785,52
2026-03-25 15:54:15,25,67,7989,61
2026-03-25 15:54:17,25,68,8714,60
2026-03-25 15:54:19,25,68,8149,54
2026-03-25 15:54:21,23,70,8641,56
2026-03-25 15:54:23,24,74,7851,57
2026-03-25 15:54:25,24,70,7793,56
2026-03-25 15:54:27,24,74,8585,52
2026-03-25 15:54:29,23,70,8031,56
2026-03-25 15:54:31,24,73,8128,62
2026-03-25 15:54:33,24,67,8420,55
2026-03-25 15:54:35,24,68,8812,52
2026-03-25 15:54:37,25,72,8762,57
2026-03-25 15:54:39,24,70,8464,59
2026-03-25 15:54:41,23,69,8539,48
2026-03-25 15:54:43,25,73,8682,51
2026-03-25 15:54:45,25,67,8544,60
2026-03-25 15:54:47,24,68,7892,61
2026-03-25 15:54:49,24,70,8011,48
2026-03-25 15:54:51,25,71,8131,62
2026-03-25 15:54:54,25,71,8460,51
2026-03-25 15:54:56,24,72,8660,62
2026-03-25 15:54:58,25,70,7878,56
2026-03-25 15:55:00,23,73,7537,48
2026-03-25 15:55:02,25,68,7648,50
2026-03-25 15:55:04,24,70,8568,52
2026-03-25 15:55:06,25,69,7728,58
2026-03-25 15:55:08,25,68,8449,57
2026-03-25 15:55:10,25,68,8290,56
2026-03-25 15:55:12,24,70,7790,61
2026-03-25 15:55:14,25,68,8322,49
2026-03-25 15:55:16,25,70,7698,50
2026-03-25 15:55:18,23,71,7599,57
2026-03-25 15:55:20,24,70,8887,56
2026-03-25 15:55:22,23,66,8115,57
2026-03-25 15:55:24,25,71,8500,60
2026-03-25 15:55:26,25,72,8749,60
2026-03-25 15:55:28,24,67,7685,60
2026-03-25 15:55:30,24,74,8469,51
2026-03-25 15:55:32,24,67,8340,50
2026-03-25 15:55:34,25,70,7572,55
2026-03-25 15:55:36,24,67,8264,50
2026-03-25 15:55:38,25,70,7611,50
2026-03-25 15:55:40,25,67,8874,58
2026-03-25 15:55:42,25,68,8609,57
2026-03-25 15:55:44,23,73,7911,58
2026-03-25 15:55:46,23,72,8241,51
2026-03-25 15:55:48,25,67,8300,58
2026-03-25 15:55:50,23,67,7752,57
2026-03-25 15:55:52,24,67,8523,51
2026-03-25 15:55:54,24,67,8066,52
2026-03-25 15:55:56,25,74,8193,60
2026-03-25 15:55:58,24,68,8103,56
2026-03-25 15:56:00,23,67,8601,54
2026-03-25 15:56:02,25,71,8210,59
2026-03-25 15:56:04,24,72,7604,50
2026-03-25 15:56:06,24,74,8470,59
2026-03-25 15:56:08,25,73,8355,51
2026-03-25 15:56:10,24,67,7835,56
2026-03-25 15:56:12,24,73,7961,58
2026-03-25 15:56:14,24,68,7787,60
2026-03-25 15:56:16,24,74,8723,61
2026-03-25 15:56:18,23,71,7759,52
2026-03-25 15:56:20,25,67,7517,49
2026-03-25 15:56:22,24,68,8518,53
2026-03-25 15:56:24,25,68,8765,57
2026-03-25 15:56:26,25,70,8414,48
2026-03-25 15:56:28,24,72,8455,57
2026-03-25 15:56:30,24,69,7566,53
2026-03-25 15:56:32,24,73,8465,50
2026-03-25 15:56:34,25,66,7765,61
2026-03-25 15:56:36,25,68,8607,51
2026-03-25 15:56:38,23,66,7880,50
2026-03-25 15:56:40,24,66,8730,53
2026-03-25 15:56:42,25,70,8538,60
2026-03-25 15:56:44,24,74,7938,60
2026-03-25 15:56:46,25,74,8516,52
2026-03-25 15:56:48,24,67,8482,54
2026-03-25 15:56:50,23,71,8548,48
2026-03-25 15:56:52,23,66,7503,60
2026-03-25 15:56:54,23,69,8345,51
2026-03-25 15:56:56,25,67,8200,51
2026-03-25 15:56:58,25,70,7720,57
2026-03-25 15:57:00,23,71,8082,52
2026-03-25 15:57:02,23,73,7929,60
2026-03-25 15:57:04,24,73,8626,58
2026-03-25 15:57:06,25,71,7762,60
2026-03-25 15:57:08,24,70,7910,54
2026-03-25 15:57:10,25,69,7909,55
2026-03-25 15:57:12,24,66,7540,55
2026-03-25 15:57:14,23,72,8623,48
2026-03-25 15:57:16,23,68,7674,58
2026-03-25 15:57:18,25,68,8098,50
2026-03-25 15:57:20,24,67,7609,58
2026-03-25 15:57:22,24,74,8353,48
2026-03-25 15:57:24,24,72,8484,61
2026-03-25 15:57:26,23,67,8890,55
2026-03-25 15:57:28,25,73,8208,55
2026-03-25 15:57:30,24,73,7735,53
2026-03-25 15:57:32,24,67,8819,54
2026-03-25 15:57:34,23,72,7532,55
2026-03-25 15:57:36,25,71,8255,62
2026-03-25 15:57:38,24,66,8797,53
2026-03-25 15:57:40,24,73,8663,50
2026-03-25 15:57:42,23,66,7521,54
2026-03-25 15:57:44,23,68,7864,49
2026-03-25 15:57:46,23,67,8825,57
2026-03-25 15:57:48,25,68,8168,62
2026-03-25 15:57:50,24,73,7732,52
2026-03-25 15:57:52,24,70,8420,57
2026-03-25 15:57:54,25,70,8042,52
2026-03-25 15:57:56,24,74,8520,53
2026-03-25 15:57:58,23,70,8688,49
2026-03-25 15:58:00,24,68,8175,59
2026-03-25 15:58:02,24,74,8687,58
2026-03-25 15:58:04,24,69,8349,61
2026-03-25 15:58:06,24,66,8044,54
2026-03-25 15:58:08,24,70,8167,49
2026-03-25 15:58:10,23,67,8836,56
2026-03-25 15:58:12,24,71,8034,60
2026-03-25 15:58:14,25,70,8234,60
2026-03-25 15:58:16,23,66,8765,61
2026-03-25 15:58:18,23,69,7592,51
2026-03-25 15:58:20,24,73,8154,56
2026-03-25 15:58:22,24,69,8180,58
2026-03-25 15:58:24,24,73,8728,50
2026-03-25 15:58:26,24,68,7947,50
2026-03-25 15:58:28,24,74,8028,59
2026-03-25 15:58:30,24,71,8362,48
2026-03-25 15:58:32,24,70,8242,52
2026-03-25 15:58:34,23,71,8072,55
2026-03-25 15:58:36,25,71,8142,54
2026-03-25 15:58:38,25,72,8232,52
2026-03-25 15:58:40,23,73,8169,55
2026-03-25 15:58:42,24,71,7914,52
2026-03-25 15:58:44,23,73,8837,56
2026-03-25 15:58:46,23,73,7644,51
2026-03-25 15:58:48,25,68,7970,55
2026-03-25 15:58:50,24,73,7917,49
2026-03-25 15:58:52,24,70,8092,59
2026-03-25 15:58:54,24,72,8242,56
2026-03-25 15:58:56,23,73,7663,49
2026-03-25 15:58:58,25,72,7652,51
2026-03-25 15:59:00,23,66,8154,51
2026-03-25 15:59:02,25,69,8894,56
2026-03-25 15:59:04,24,72,7651,55
2026-03-25 15:59:06,24,70,8486,55
2026-03-25 15:59:08,23,66,7793,54
2026-03-25 15:59:10,24,73,8144,58
2026-03-25 15:59:12,25,71,7530,52
2026-03-25 15:59:14,24,73,8458,57
2026-03-25 15:59:16,24,71,7940,51
2026-03-25 15:59:18,23,71,7742,49
2026-03-25 15:59:20,25,67,7896,50
